date_received,product,sub_product,issue,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,complaint_id,client_id
08-09-2012,Credit card,Loan account,Rewards,Web,10-09-2012,Closed with explanation,Yes,CR0148842,4107
08-09-2012,Bank account or service,Other bank product/service,Deposits and withdrawals,Web,11-09-2012,Closed with non-monetary relief,Yes,CR0148855,4103
07-09-2012,Credit card,Loan account,APR or interest rate,Web,11-09-2012,Closed with explanation,Yes,CR0148574,3548
07-09-2012,Credit card,Loan account,Sale of account,Web,06-02-2013,Closed without relief,Yes,CR0148731,465
07-09-2012,Bank account or service,Checking account,Using a debit or ATM card,Web,07-09-2012,Closed with explanation,Yes,CR0148108,532
06-09-2012,Credit card,Loan account,APR or interest rate,Web,06-09-2012,Closed with explanation,Yes,CR0147182,1327
06-09-2012,Credit card,Loan account,Customer service / Customer relations,Web,07-09-2012,Closed with monetary relief,Yes,CR0147933,20
06-09-2012,Credit card,Loan account,Billing disputes,Web,07-09-2012,Closed with explanation,No,CR0147458,1520
06-09-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,06-09-2012,Closed with monetary relief,Yes,CR0147171,12850
06-09-2012,Bank account or service,Other bank product/service,"Account opening, closing, or management",Web,06-09-2012,Closed with explanation,Yes,CR0147537,2647
05-09-2012,Credit card,Loan account,Billing disputes,Web,05-09-2012,Closed with monetary relief,Yes,CR0146906,2850
05-09-2012,Credit card,Loan account,Collection debt dispute,Web,06-09-2012,Closed with explanation,Yes,CR0147063,3893
05-09-2012,Credit card,Loan account,Application processing delay,Web,07-09-2012,Closed with monetary relief,Yes,CR0147106,2909
05-09-2012,Credit card,Loan account,Billing disputes,Web,07-09-2012,Closed with explanation,Yes,CR0146755,28
05-09-2012,Credit card,Loan account,Collection debt dispute,Web,06-09-2012,Closed with explanation,Yes,CR0147081,1482
05-09-2012,Bank account or service,Other bank product/service,"Account opening, closing, or management",Web,07-09-2012,Closed with explanation,Yes,CR0147048,1346
04-09-2012,Credit card,Loan account,Rewards,Web,04-09-2012,Closed with explanation,Yes,CR0146254,5722
04-09-2012,Credit card,Loan account,Credit reporting,Web,06-09-2012,Closed with non-monetary relief,Yes,CR0146367,2504
04-09-2012,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Web,04-09-2012,Closed with explanation,Yes,CR0146262,4131
04-09-2012,Credit card,Loan account,Unsolicited issuance of credit card,Web,05-09-2012,Closed with non-monetary relief,Yes,CR0146330,3056
04-09-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,04-09-2012,Closed with explanation,Yes,CR0146252,5241
03-09-2012,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Web,05-09-2012,Closed with non-monetary relief,Yes,CR0145719,668
02-09-2012,Credit card,Loan account,Credit card protection / Debt protection,Web,04-09-2012,Closed with non-monetary relief,Yes,CR0145679,658
01-09-2012,Credit card,Loan account,Collection debt dispute,Web,04-09-2012,Closed with explanation,Yes,CR0145996,2625
01-09-2012,Credit card,Loan account,Credit line increase/decrease,Web,04-09-2012,Closed with explanation,Yes,CR0145666,3073
01-09-2012,Credit card,Loan account,Credit reporting,Web,04-09-2012,Closed with explanation,Yes,CR0145647,2511
01-09-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,04-09-2012,Closed with explanation,Yes,CR0145676,2346
31-08-2012,Credit card,Loan account,Payoff process,Web,04-09-2012,Closed with explanation,Yes,CR0145562,7772
31-08-2012,Bank account or service,Checking account,Deposits and withdrawals,Web,14-12-2012,Closed with explanation,No,CR0145426,1819
31-08-2012,Bank account or service,Checking account,Problems caused by my funds being low,Web,05-09-2012,Closed with monetary relief,Yes,CR0145625,8327
31-08-2012,Bank account or service,Checking account,Deposits and withdrawals,Web,05-09-2012,Closed with monetary relief,Yes,CR0145573,130
30-08-2012,Credit card,Loan account,Billing disputes,Web,05-09-2012,Closed with non-monetary relief,Yes,CR0145018,6275
30-08-2012,Credit card,Loan account,Credit line increase/decrease,Web,30-08-2012,Closed with explanation,Yes,CR0144378,3573
30-08-2012,Credit card,Loan account,Billing disputes,Web,30-08-2012,Closed with explanation,Yes,CR0144397,3422
30-08-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,05-09-2012,Closed with explanation,Yes,CR0144953,4044
29-08-2012,Credit card,Loan account,Closing/Cancelling account,Web,30-08-2012,Closed with monetary relief,Yes,CR0144211,2732
29-08-2012,Credit card,Loan account,Credit card protection / Debt protection,Web,30-08-2012,Closed with explanation,Yes,CR0144210,11598
29-08-2012,Bank account or service,Checking account,Problems caused by my funds being low,Web,05-09-2012,Closed with monetary relief,Yes,CR0143732,2937
29-08-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,05-09-2012,Closed with explanation,Yes,CR0143733,892
28-08-2012,Credit card,Loan account,Billing statement,Web,29-08-2012,Closed with non-monetary relief,Yes,CR0144016,1825
