date_received,product,sub_product,issue,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,complaint_id,client_id
03-07-2014,Bank account or service,Checking account,Deposits and withdrawals,Email,09-07-2014,Closed with explanation,Yes,CR0922485,1925
12-04-2012,Bank account or service,Savings account,"Account opening, closing, or management",Email,13-04-2012,Closed with relief,Yes,CR0057298,3141
03-04-2012,Bank account or service,Checking account,"Account opening, closing, or management",Email,03-04-2012,Closed without relief,Yes,CR0043811,297
14-03-2012,Credit card,Loan account,Billing disputes,Email,14-03-2012,Closed with relief,Yes,CR0035411,4275
05-03-2012,Bank account or service,Checking account,"Account opening, closing, or management",Email,06-03-2012,Closed with relief,Yes,CR0030939,900
05-03-2012,Bank account or service,Checking account,Problems caused by my funds being low,Email,05-03-2012,Closed with relief,Yes,CR0030070,11596
23-02-2012,Credit card,Loan account,Other fee,Email,24-02-2012,Closed without relief,Yes,CR0013328,2716
07-12-2011,Credit card,Loan account,Collection debt dispute,Email,29-02-2012,Closed without relief,Yes,CR0003732,146
27-03-2017,Bank account or service,Other bank product/service,Deposits and withdrawals,Fax,27-03-2017,Closed with explanation,Yes,CR2405000,778
21-03-2017,Credit card,Loan account,Other,Fax,21-03-2017,Closed with non-monetary relief,Yes,CR2398334,706
20-03-2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,21-03-2017,In progress,Yes,CR2395319,2065
07-03-2017,Bank account or service,Other bank product/service,Deposits and withdrawals,Fax,09-03-2017,Closed with explanation,Yes,CR2375209,298
03-03-2017,Bank account or service,Checking account,"Account opening, closing, or management",Fax,08-03-2017,Closed with monetary relief,Yes,CR2371479,2926
02-03-2017,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Fax,06-03-2017,Closed with explanation,Yes,CR2368953,3552
21-02-2017,Bank account or service,Savings account,Deposits and withdrawals,Fax,24-02-2017,Closed with monetary relief,Yes,CR2353277,438
16-02-2017,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Fax,22-02-2017,Closed with explanation,Yes,CR2347888,11252
03-02-2017,Bank account or service,(CD) Certificate of deposit,Deposits and withdrawals,Fax,07-02-2017,Closed with explanation,Yes,CR2327253,7366
31-01-2017,Credit card,Loan account,Other,Fax,03-02-2017,Closed with explanation,Yes,CR2319065,4459
30-01-2017,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",Fax,02-02-2017,Closed with explanation,Yes,CR2318000,2463
09-01-2017,Credit card,Loan account,Other,Fax,10-01-2017,Closed with explanation,Yes,CR2281296,1075
19-12-2016,Credit card,Loan account,Credit line increase/decrease,Fax,19-12-2016,Closed with explanation,Yes,CR2254957,3048
08-12-2016,Credit card,Loan account,Billing disputes,Fax,09-12-2016,Closed with explanation,Yes,CR2241469,3061
08-12-2016,Credit card,Loan account,Billing disputes,Fax,09-12-2016,Closed with explanation,Yes,CR2241293,2563
07-12-2016,Bank account or service,Checking account,"Making/receiving payments, sending money",Fax,08-12-2016,Closed with monetary relief,Yes,CR2239563,2298
01-12-2016,Credit card,Loan account,Late fee,Fax,02-12-2016,Closed with monetary relief,Yes,CR2230679,2771
28-11-2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,29-11-2016,Closed with explanation,Yes,CR2225814,1537
17-11-2016,Bank account or service,Checking account,Deposits and withdrawals,Fax,18-11-2016,Closed with monetary relief,Yes,CR2214250,10077
16-11-2016,Bank account or service,Checking account,Deposits and withdrawals,Fax,16-11-2016,Closed with explanation,Yes,CR2208613,1768
08-11-2016,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Fax,09-11-2016,Closed with explanation,Yes,CR2200226,1671
04-11-2016,Credit card,Loan account,Sale of account,Fax,07-11-2016,Closed with explanation,Yes,CR2195804,2994
02-11-2016,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Fax,15-11-2016,Closed with monetary relief,Yes,CR2192368,3098
02-11-2016,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Fax,14-11-2016,Closed with monetary relief,Yes,CR2190357,3203
28-10-2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,31-10-2016,Closed with non-monetary relief,Yes,CR2184843,10041
06-10-2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,12-10-2016,Closed with explanation,Yes,CR2150336,1791
05-10-2016,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Fax,14-10-2016,Closed with explanation,Yes,CR2147799,5050
04-10-2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,06-10-2016,Closed with explanation,Yes,CR2146555,3330
30-09-2016,Bank account or service,Other bank product/service,Deposits and withdrawals,Fax,14-10-2016,Closed with monetary relief,Yes,CR2140531,3003
26-09-2016,Bank account or service,Other bank product/service,Deposits and withdrawals,Fax,28-09-2016,Closed with monetary relief,Yes,CR2132541,489
23-09-2016,Bank account or service,Checking account,"Account opening, closing, or management",Fax,27-09-2016,Closed with explanation,Yes,CR2128698,1520
22-09-2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,26-09-2016,Closed with explanation,Yes,CR2125933,3001
12-09-2016,Credit card,Loan account,Balance transfer fee,Fax,14-09-2016,Closed with non-monetary relief,Yes,CR2106749,11329
31-08-2016,Credit card,Loan account,Billing disputes,Fax,06-09-2016,Closed with explanation,Yes,CR2089516,3317
26-08-2016,Bank account or service,Other bank product/service,Deposits and withdrawals,Fax,30-08-2016,Closed with explanation,Yes,CR2083797,1600
25-08-2016,Bank account or service,Savings account,Deposits and withdrawals,Fax,30-08-2016,Closed with explanation,Yes,CR2081319,572
22-08-2016,Credit card,Loan account,Billing disputes,Fax,24-08-2016,Closed with explanation,Yes,CR2075840,119
09-08-2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,29-08-2016,Closed with monetary relief,Yes,CR2053856,3819
04-08-2016,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",Fax,08-08-2016,Closed with explanation,Yes,CR2047406,3069
28-07-2016,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Fax,02-08-2016,Closed with explanation,Yes,CR2036377,524
19-07-2016,Bank account or service,Checking account,Deposits and withdrawals,Fax,20-07-2016,Closed with monetary relief,Yes,CR2019528,697
18-07-2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,19-07-2016,Closed with explanation,Yes,CR2017443,4643
15-07-2016,Bank account or service,Checking account,"Account opening, closing, or management",Fax,16-07-2016,Closed with explanation,Yes,CR2015196,137
01-07-2016,Credit card,Loan account,Billing disputes,Fax,11-07-2016,Closed with explanation,Yes,CR1994567,7011
02-06-2016,Bank account or service,Checking account,Deposits and withdrawals,Fax,06-06-2016,Closed with explanation,Yes,CR1952426,3837
26-05-2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,27-05-2016,Closed with explanation,Yes,CR1943347,2799
25-05-2016,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Fax,31-05-2016,Closed with explanation,Yes,CR1942158,3834
25-05-2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,31-05-2016,Closed with explanation,Yes,CR1941865,5180
24-05-2016,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Fax,31-05-2016,Closed with explanation,Yes,CR1938865,1699
23-05-2016,Bank account or service,Checking account,Problems caused by my funds being low,Fax,24-05-2016,Closed with explanation,Yes,CR1936930,3632
19-05-2016,Bank account or service,Checking account,"Account opening, closing, or management",Fax,31-05-2016,Closed with explanation,Yes,CR1932270,2463
13-05-2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,13-05-2016,Closed with explanation,Yes,CR1924106,4493
06-05-2016,Credit card,Loan account,Customer service / Customer relations,Fax,11-05-2016,Closed with monetary relief,Yes,CR1913916,3116
06-05-2016,Bank account or service,Checking account,"Account opening, closing, or management",Fax,16-05-2016,Closed with non-monetary relief,Yes,CR1912930,2324
02-05-2016,Bank account or service,Checking account,"Account opening, closing, or management",Fax,02-05-2016,Closed with explanation,Yes,CR1905472,1579
25-04-2016,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Fax,28-04-2016,Closed with explanation,Yes,CR1894861,3039
19-04-2016,Bank account or service,Other bank product/service,Deposits and withdrawals,Fax,21-04-2016,Closed with monetary relief,Yes,CR1885950,4294
18-04-2016,Bank account or service,Other bank product/service,Deposits and withdrawals,Fax,18-04-2016,Closed with explanation,Yes,CR1884968,12358
15-04-2016,Bank account or service,Other bank product/service,Problems caused by my funds being low,Fax,15-04-2016,Closed with monetary relief,Yes,CR1881766,462
15-04-2016,Bank account or service,Checking account,Deposits and withdrawals,Fax,15-04-2016,Closed with monetary relief,Yes,CR1882476,13417
07-04-2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,11-04-2016,Closed with explanation,Yes,CR1869568,1445
04-04-2016,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Fax,06-04-2016,Closed with explanation,Yes,CR1863969,2209
23-03-2016,Bank account or service,Checking account,Deposits and withdrawals,Fax,23-03-2016,Closed with explanation,Yes,CR1845683,6256
10-03-2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,10-03-2016,Closed with explanation,Yes,CR1826636,472
08-03-2016,Bank account or service,Checking account,"Account opening, closing, or management",Fax,08-03-2016,Closed with explanation,Yes,CR1822084,3977
29-02-2016,Bank account or service,Checking account,Deposits and withdrawals,Fax,01-03-2016,Closed with explanation,Yes,CR1809285,3372
17-02-2016,Bank account or service,Other bank product/service,Deposits and withdrawals,Fax,18-02-2016,Closed with explanation,Yes,CR1791074,11906
16-02-2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,21-03-2016,Closed with explanation,Yes,CR1789593,9236
11-02-2016,Credit card,Loan account,Other,Fax,17-02-2016,Closed with explanation,Yes,CR1784697,9458
05-02-2016,Bank account or service,Checking account,"Account opening, closing, or management",Fax,05-02-2016,Closed with non-monetary relief,Yes,CR1775172,4445
04-02-2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,17-02-2016,Closed with explanation,Yes,CR1773179,3283
04-02-2016,Bank account or service,Checking account,Deposits and withdrawals,Fax,17-02-2016,Closed with explanation,Yes,CR1773807,2129
29-01-2016,Credit card,Loan account,Billing disputes,Fax,01-02-2016,Closed with explanation,Yes,CR1764286,2084
28-01-2016,Credit card,Loan account,Other,Fax,29-01-2016,Closed with explanation,Yes,CR1762648,4449
25-01-2016,Credit card,Loan account,Billing disputes,Fax,26-01-2016,Closed with explanation,Yes,CR1756498,2296
25-01-2016,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Fax,01-02-2016,Closed with explanation,Yes,CR1756563,2642
15-01-2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,20-01-2016,Closed with monetary relief,Yes,CR1744554,3532
08-01-2016,Bank account or service,Other bank product/service,Deposits and withdrawals,Fax,12-01-2016,Closed with monetary relief,Yes,CR1734737,4387
06-01-2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,07-01-2016,Closed with explanation,Yes,CR1729929,2727
04-01-2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,04-01-2016,Closed with explanation,Yes,CR1725606,3241
22-12-2015,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",Fax,23-12-2015,Closed with explanation,Yes,CR1713275,1316
18-12-2015,Bank account or service,Other bank product/service,Problems caused by my funds being low,Fax,18-12-2015,Closed with monetary relief,Yes,CR1708290,11064
30-11-2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,04-12-2015,Closed with explanation,Yes,CR1676436,520
18-11-2015,Credit card,Loan account,Other,Fax,14-12-2015,Closed with explanation,Yes,CR1660760,3092
09-11-2015,Bank account or service,Checking account,"Account opening, closing, or management",Fax,09-11-2015,Closed with monetary relief,Yes,CR1645849,1323
09-11-2015,Bank account or service,Other bank product/service,Problems caused by my funds being low,Fax,10-11-2015,Closed with explanation,Yes,CR1645852,482
29-10-2015,Bank account or service,Other bank product/service,Deposits and withdrawals,Fax,30-10-2015,Closed with explanation,Yes,CR1631076,2709
23-10-2015,Credit card,Loan account,Other,Fax,26-10-2015,Closed with explanation,Yes,CR1621364,6924
23-10-2015,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Fax,27-10-2015,Closed,Yes,CR1621318,1129
05-10-2015,Credit card,Loan account,Billing disputes,Fax,07-10-2015,Closed with monetary relief,Yes,CR1592064,3450
02-10-2015,Bank account or service,Checking account,Problems caused by my funds being low,Fax,06-10-2015,Closed with explanation,Yes,CR1590438,2755
21-09-2015,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",Fax,24-09-2015,Closed with non-monetary relief,Yes,CR1573466,2409
16-09-2015,Bank account or service,Other bank product/service,Deposits and withdrawals,Fax,16-09-2015,Closed with monetary relief,Yes,CR1566591,1811
14-09-2015,Bank account or service,Checking account,Deposits and withdrawals,Fax,14-09-2015,Closed with explanation,Yes,CR1563107,4180
31-08-2015,Credit card,Loan account,Advertising and marketing,Fax,31-08-2015,Closed with explanation,Yes,CR1544742,680
31-08-2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,31-08-2015,Closed with explanation,Yes,CR1544229,3312
21-08-2015,Credit card,Loan account,Billing disputes,Fax,04-09-2015,Closed with explanation,Yes,CR1531152,2821
20-08-2015,Bank account or service,Other bank product/service,Deposits and withdrawals,Fax,21-08-2015,Closed with explanation,Yes,CR1527767,4061
05-08-2015,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Fax,06-08-2015,Closed with explanation,Yes,CR1507211,961
03-08-2015,Bank account or service,Other bank product/service,Deposits and withdrawals,Fax,10-08-2015,Closed with non-monetary relief,Yes,CR1498821,780
30-07-2015,Bank account or service,Cashing a check without an account,Problems caused by my funds being low,Fax,05-08-2015,Closed with explanation,Yes,CR1494677,1592
24-07-2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,03-08-2015,Closed with explanation,Yes,CR1485802,1808
23-07-2015,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Fax,24-07-2015,Closed with explanation,Yes,CR1483597,894
20-07-2015,Credit card,Loan account,Billing disputes,Fax,21-07-2015,Closed with explanation,Yes,CR1474895,4169
14-07-2015,Bank account or service,Checking account,"Account opening, closing, or management",Fax,14-07-2015,Closed with explanation,Yes,CR1467137,567
09-07-2015,Bank account or service,Checking account,"Account opening, closing, or management",Fax,16-07-2015,Closed with monetary relief,Yes,CR1459299,11329
07-07-2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,08-07-2015,Closed with non-monetary relief,Yes,CR1455861,173
07-07-2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,30-07-2015,Closed with non-monetary relief,Yes,CR1455862,1642
06-07-2015,Credit card,Loan account,Transaction issue,Fax,08-07-2015,Closed with explanation,Yes,CR1452043,2800
06-07-2015,Credit card,Loan account,Billing disputes,Fax,08-07-2015,Closed with explanation,Yes,CR1451644,12485
06-07-2015,Credit card,Loan account,Billing disputes,Fax,10-07-2015,Closed with non-monetary relief,Yes,CR1452819,2055
24-06-2015,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Fax,07-07-2015,Closed with explanation,Yes,CR1435238,964
23-06-2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,24-06-2015,Closed with explanation,Yes,CR1433236,1218
23-06-2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,26-06-2015,Closed with explanation,Yes,CR1434177,2420
12-06-2015,Credit card,Loan account,Credit line increase/decrease,Fax,17-06-2015,Closed with non-monetary relief,Yes,CR1419608,2096
09-06-2015,Credit card,Loan account,Late fee,Fax,10-06-2015,Closed with explanation,Yes,CR1412354,3922
20-05-2015,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Fax,26-05-2015,Closed with explanation,Yes,CR1384883,1682
18-05-2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,18-07-2015,Closed with explanation,Yes,CR1381322,2288
04-05-2015,Bank account or service,Other bank product/service,Using a debit or ATM card,Fax,04-05-2015,Closed with explanation,Yes,CR1359157,9217
01-05-2015,Bank account or service,Checking account,Deposits and withdrawals,Fax,04-05-2015,Closed with explanation,Yes,CR1357213,1963
29-04-2015,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Fax,04-05-2015,Closed with explanation,Yes,CR1351891,4959
23-04-2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,28-04-2015,Closed with monetary relief,Yes,CR1344050,4099
21-04-2015,Credit card,Loan account,Billing statement,Fax,23-04-2015,Closed with explanation,Yes,CR1338985,5175
21-04-2015,Bank account or service,Checking account,Deposits and withdrawals,Fax,24-04-2015,Closed with explanation,Yes,CR1340503,5132
16-04-2015,Bank account or service,Other bank product/service,Deposits and withdrawals,Fax,20-04-2015,Closed with non-monetary relief,Yes,CR1334090,3344
09-04-2015,Bank account or service,Checking account,"Making/receiving payments, sending money",Fax,13-04-2015,Closed with explanation,Yes,CR1323862,1641
27-03-2015,Bank account or service,Other bank product/service,Using a debit or ATM card,Fax,30-03-2015,Closed with explanation,Yes,CR1305593,4395
26-03-2015,Bank account or service,Checking account,Deposits and withdrawals,Fax,30-03-2015,Closed with explanation,Yes,CR1301819,3423
13-03-2015,Bank account or service,Checking account,Deposits and withdrawals,Fax,16-03-2015,Closed with monetary relief,Yes,CR1282520,6034
10-03-2015,Credit card,Loan account,Billing disputes,Fax,16-03-2015,Closed with explanation,Yes,CR1275516,3015
20-02-2015,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Fax,26-02-2015,Closed with explanation,Yes,CR1249514,2814
14-01-2015,Bank account or service,Checking account,Deposits and withdrawals,Fax,16-01-2015,Closed with monetary relief,Yes,CR1193863,3929
08-01-2015,Bank account or service,Checking account,Deposits and withdrawals,Fax,22-01-2015,Closed with explanation,Yes,CR1185692,350
06-01-2015,Bank account or service,Checking account,Deposits and withdrawals,Fax,07-01-2015,Closed with explanation,Yes,CR1182664,9366
06-01-2015,Bank account or service,Other bank product/service,Deposits and withdrawals,Fax,09-01-2015,Closed with explanation,Yes,CR1182076,3251
23-12-2014,Bank account or service,Checking account,Deposits and withdrawals,Fax,30-12-2014,Closed with explanation,Yes,CR1167964,767
22-12-2014,Credit card,Loan account,Billing disputes,Fax,24-12-2014,Closed with explanation,Yes,CR1165956,583
17-12-2014,Bank account or service,Checking account,Using a debit or ATM card,Fax,18-12-2014,Closed with explanation,Yes,CR1159924,50
08-12-2014,Credit card,Loan account,Other,Fax,30-12-2014,Closed with explanation,Yes,CR1148113,1790
04-12-2014,Bank account or service,Checking account,Deposits and withdrawals,Fax,08-12-2014,Closed with explanation,Yes,CR1142808,987
03-12-2014,Bank account or service,Checking account,Deposits and withdrawals,Fax,08-12-2014,Closed with explanation,Yes,CR1141314,1123
10-11-2014,Bank account or service,Checking account,"Account opening, closing, or management",Fax,19-11-2014,Closed with explanation,Yes,CR1109288,2674
04-11-2014,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Fax,06-11-2014,Closed with explanation,Yes,CR1101885,593
21-10-2014,Bank account or service,Checking account,"Account opening, closing, or management",Fax,27-10-2014,Closed with non-monetary relief,Yes,CR1080256,950
07-10-2014,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",Fax,10-10-2014,Closed with explanation,Yes,CR1062228,11686
06-10-2014,Bank account or service,Checking account,Deposits and withdrawals,Fax,10-10-2014,Closed with explanation,Yes,CR1059300,1618
01-10-2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,06-10-2014,Closed with monetary relief,Yes,CR1052629,2449
30-09-2014,Credit card,Loan account,Rewards,Fax,06-10-2014,Closed with explanation,Yes,CR1051007,2069
30-09-2014,Credit card,Loan account,Other,Fax,01-10-2014,Closed with explanation,Yes,CR1052075,6571
29-09-2014,Credit card,Loan account,Arbitration,Fax,03-10-2014,Closed with explanation,Yes,CR1048746,4373
24-09-2014,Credit card,Loan account,Closing/Cancelling account,Fax,01-10-2014,Closed with explanation,Yes,CR1043298,2625
24-09-2014,Bank account or service,Checking account,Deposits and withdrawals,Fax,30-09-2014,Closed with explanation,Yes,CR1042825,4761
19-09-2014,Bank account or service,Checking account,Deposits and withdrawals,Fax,25-09-2014,Closed with explanation,Yes,CR1037284,2415
09-09-2014,Bank account or service,Savings account,"Account opening, closing, or management",Fax,29-09-2014,Closed with explanation,Yes,CR1020704,937
05-09-2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,10-09-2014,Closed with explanation,Yes,CR1016584,1965
04-09-2014,Credit card,Loan account,Other,Fax,09-09-2014,Closed with monetary relief,Yes,CR1015058,1948
29-08-2014,Bank account or service,Checking account,Problems caused by my funds being low,Fax,04-09-2014,Closed with monetary relief,Yes,CR1007303,2682
22-08-2014,Bank account or service,Checking account,Deposits and withdrawals,Fax,16-09-2014,Closed with explanation,Yes,CR0997116,9820
19-08-2014,Bank account or service,Checking account,"Account opening, closing, or management",Fax,22-08-2014,Closed with explanation,Yes,CR0991303,4382
18-08-2014,Bank account or service,Checking account,Deposits and withdrawals,Fax,20-08-2014,Closed with monetary relief,Yes,CR0988096,1990
13-08-2014,Bank account or service,Checking account,Deposits and withdrawals,Fax,18-08-2014,Closed with explanation,Yes,CR0981611,283
24-07-2014,Credit card,Loan account,Closing/Cancelling account,Fax,28-07-2014,Closed with explanation,Yes,CR0951400,4037
23-07-2014,Credit card,Loan account,Customer service / Customer relations,Fax,28-07-2014,Closed with explanation,Yes,CR0949403,2302
21-07-2014,Bank account or service,Checking account,"Making/receiving payments, sending money",Fax,24-07-2014,Closed with monetary relief,Yes,CR0947307,4892
17-07-2014,Bank account or service,Other bank product/service,Deposits and withdrawals,Fax,23-07-2014,Closed with explanation,Yes,CR0942501,6363
08-07-2014,Bank account or service,Checking account,"Account opening, closing, or management",Fax,11-07-2014,Closed with explanation,Yes,CR0927871,3816
03-07-2014,Bank account or service,Checking account,"Account opening, closing, or management",Fax,09-07-2014,Closed with explanation,Yes,CR0922473,379
10-06-2014,Bank account or service,Checking account,"Account opening, closing, or management",Fax,12-06-2014,Closed with explanation,Yes,CR0888321,1798
10-06-2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,12-06-2014,Closed with explanation,Yes,CR0887544,4455
28-05-2014,Credit card,Loan account,Closing/Cancelling account,Fax,03-06-2014,Closed with explanation,Yes,CR0871335,730
27-05-2014,Credit card,Loan account,Billing disputes,Fax,02-06-2014,Closed with explanation,Yes,CR0869660,4586
22-05-2014,Bank account or service,Checking account,Deposits and withdrawals,Fax,09-06-2014,Closed with explanation,Yes,CR0865818,4186
19-05-2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,21-05-2014,Closed with explanation,Yes,CR0858349,5320
16-05-2014,Bank account or service,Checking account,Deposits and withdrawals,Fax,19-05-2014,Closed with monetary relief,Yes,CR0855237,1479
14-05-2014,Bank account or service,Checking account,Deposits and withdrawals,Fax,16-05-2014,Closed with monetary relief,Yes,CR0853368,2555
07-05-2014,Bank account or service,Checking account,Deposits and withdrawals,Fax,12-05-2014,Closed with explanation,Yes,CR0842671,3349
05-05-2014,Bank account or service,Checking account,"Account opening, closing, or management",Fax,07-05-2014,Closed with monetary relief,Yes,CR0838199,4320
24-04-2014,Credit card,Loan account,Delinquent account,Fax,28-04-2014,Closed with explanation,Yes,CR0824833,5338
11-04-2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,16-04-2014,Closed with explanation,Yes,CR0804364,217
09-04-2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,14-04-2014,Closed with explanation,Yes,CR0800215,13657
05-04-2014,Bank account or service,Checking account,Using a debit or ATM card,Fax,09-04-2014,Closed with explanation,Yes,CR0795200,1045
04-04-2014,Bank account or service,Checking account,Deposits and withdrawals,Fax,08-04-2014,Closed with explanation,Yes,CR0793529,504
02-04-2014,Bank account or service,Savings account,"Account opening, closing, or management",Fax,08-04-2014,Closed with explanation,Yes,CR0789608,3461
31-03-2014,Bank account or service,Checking account,"Account opening, closing, or management",Fax,03-04-2014,Closed with non-monetary relief,Yes,CR0785224,2135
28-03-2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,04-04-2014,Closed with explanation,Yes,CR0783255,2940
06-03-2014,Bank account or service,Checking account,"Account opening, closing, or management",Fax,07-03-2014,Closed with monetary relief,Yes,CR0746087,4505
03-03-2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,04-03-2014,Closed with monetary relief,Yes,CR0739756,501
21-02-2014,Bank account or service,Checking account,Deposits and withdrawals,Fax,24-02-2014,Closed with explanation,Yes,CR0725940,4127
18-02-2014,Bank account or service,Other bank product/service,Deposits and withdrawals,Fax,19-02-2014,Closed with explanation,Yes,CR0718616,838
11-02-2014,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Fax,18-02-2014,Closed with explanation,Yes,CR0707883,4408
10-02-2014,Bank account or service,Checking account,Deposits and withdrawals,Fax,11-02-2014,Closed with explanation,Yes,CR0705878,4272
05-02-2014,Bank account or service,Checking account,Deposits and withdrawals,Fax,07-02-2014,Closed with non-monetary relief,Yes,CR0702038,847
29-01-2014,Bank account or service,Checking account,"Account opening, closing, or management",Fax,06-02-2014,Closed with explanation,Yes,CR0689939,3482
28-01-2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,06-02-2014,Closed with explanation,Yes,CR0688050,2698
23-01-2014,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Fax,31-01-2014,Closed with explanation,Yes,CR0682046,5827
08-01-2014,Credit card,Loan account,Cash advance,Fax,09-01-2014,Closed with explanation,Yes,CR0659192,2771
24-12-2013,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,06-01-2014,Closed with explanation,Yes,CR0644906,3826
24-12-2013,Bank account or service,Checking account,"Making/receiving payments, sending money",Fax,06-01-2014,Closed with explanation,Yes,CR0644531,3654
19-11-2013,Bank account or service,Other bank product/service,"Account opening, closing, or management",Fax,20-05-2014,Closed with explanation,Yes,CR0603229,1500
06-11-2013,Bank account or service,Checking account,"Account opening, closing, or management",Fax,19-11-2013,Closed with explanation,Yes,CR0587861,2321
28-10-2013,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Fax,29-10-2013,Closed with explanation,Yes,CR0574864,1262
23-10-2013,Bank account or service,Checking account,Deposits and withdrawals,Fax,05-11-2013,Closed with explanation,Yes,CR0567779,5774
17-10-2013,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Fax,17-10-2013,Closed with explanation,Yes,CR0561186,4959
15-10-2013,Credit card,Loan account,Balance transfer,Fax,16-10-2013,Closed with explanation,Yes,CR0559272,1977
30-09-2013,Credit card,Loan account,Application processing delay,Fax,02-10-2013,Closed with explanation,Yes,CR0547876,6610
29-09-2013,Bank account or service,Savings account,Problems caused by my funds being low,Fax,30-09-2013,Closed with monetary relief,Yes,CR0547152,2930
12-09-2013,Bank account or service,Checking account,"Making/receiving payments, sending money",Fax,12-09-2013,Closed with explanation,Yes,CR0524922,644
07-09-2013,Bank account or service,Checking account,"Account opening, closing, or management",Fax,09-09-2013,Closed with explanation,Yes,CR0517670,29
03-09-2013,Bank account or service,Checking account,"Account opening, closing, or management",Fax,06-09-2013,Closed with explanation,Yes,CR0512719,4774
29-08-2013,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Fax,03-09-2013,Closed with explanation,Yes,CR0508374,1465
24-08-2013,Bank account or service,Checking account,Using a debit or ATM card,Fax,28-08-2013,Closed with monetary relief,Yes,CR0503464,1267
22-08-2013,Bank account or service,Savings account,"Account opening, closing, or management",Fax,22-08-2013,Closed with explanation,Yes,CR0499187,4221
